"Id","google_id","XDIndicator"
306,"37e-BIYAAAAJ","BIO"
307,"37frPb8AAAAJ","XD"
308,"38ev4xkAAAAJ","XD"
309,"398l2V8AAAAJ","XD"
310,"39BgNN8AAAAJ","BIO"
311,"39GUJSgAAAAJ","CS"
312,"3AoFLxwAAAAJ","BIO"
313,"3aw_314AAAAJ","CS"
314,"3cwkINwAAAAJ","BIO"
315,"3DWI0HcAAAAJ","XD"
316,"3Dw_GVEAAAAJ","XD"
317,"3EbevY4AAAAJ","XD"
318,"3fASLLsAAAAJ","BIO"
319,"3FrD14AAAAAJ","XD"
320,"3FunQ3UAAAAJ","XD"
321,"3G79TTEAAAAJ","XD"
322,"3Gvtz8gAAAAJ","BIO"
323,"3H-3V9wAAAAJ","XD"
324,"3hqXvOEAAAAJ","BIO"
325,"3h_fp5QAAAAJ","BIO"
326,"3ifikJ0AAAAJ","XD"
327,"3IzCyzEAAAAJ","BIO"
328,"3JEciYcAAAAJ","XD"
329,"3JEfSz8AAAAJ","BIO"
330,"3KTaOl0AAAAJ","BIO"
331,"3lB8Y8kAAAAJ","XD"
332,"3meGuI8AAAAJ","XD"
333,"3OdbrfMAAAAJ","BIO"
334,"3oyf5I4AAAAJ","CS"
335,"3P2jfesAAAAJ","BIO"
336,"3p3advkAAAAJ","XD"
337,"3pZs3j0AAAAJ","XD"
338,"3qPiYJoAAAAJ","XD"
339,"3S5qpXsAAAAJ","XD"
340,"3siz6_0AAAAJ","XD"
341,"3Tj9toIAAAAJ","BIO"
342,"3TK9AHQAAAAJ","XD"
343,"3Unsek4AAAAJ","BIO"
344,"3UyNayMAAAAJ","XD"
345,"3vKjkoQAAAAJ","XD"
346,"3X9nW80AAAAJ","XD"
347,"3xIRwTgAAAAJ","XD"
348,"3XYmsKQAAAAJ","XD"
349,"3yJxnHwAAAAJ","XD"
350,"3YOe4NMAAAAJ","XD"
351,"3yPEc4YAAAAJ","XD"
352,"3_rdKBsAAAAJ","XD"
353,"3_WYcR4AAAAJ","XD"
354,"41m5j04AAAAJ","XD"
355,"41nF80QAAAAJ","BIO"
356,"42fU-rsAAAAJ","XD"
357,"45d6BC0AAAAJ","BIO"
358,"45MH-gkAAAAJ","XD"
359,"46HLWf8AAAAJ","XD"
360,"471mb4wAAAAJ","XD"
361,"47I8TqkAAAAJ","XD"
362,"4A2BqsMAAAAJ","XD"
363,"4aheXvQAAAAJ","BIO"
364,"4arkOLcAAAAJ","XD"
365,"4bHar00AAAAJ","XD"
366,"4BrebIYAAAAJ","XD"
