"ID","google_id","dept","XDIndicator"
307,"37frPb8AAAAJ","CS","CS"
308,"38ev4xkAAAAJ","CS","CS"
309,"398l2V8AAAAJ","BIO","XD"
310,"39BgNN8AAAAJ","BIO","BIO"
311,"39GUJSgAAAAJ","CS","CS"
312,"3AoFLxwAAAAJ","BIO","BIO"
313,"3aw_314AAAAJ","CS","CS"
314,"3cwkINwAAAAJ","BIO","BIO"
315,"3DWI0HcAAAAJ","CS","CS"
316,"3Dw_GVEAAAAJ","BIO","BIO"
317,"3EbevY4AAAAJ","CS","CS"
318,"3fASLLsAAAAJ","BIO","BIO"
319,"3FrD14AAAAAJ","CS","CS"
320,"3FunQ3UAAAAJ","BIO","BIO"
321,"3G79TTEAAAAJ","CS","XD"
322,"3Gvtz8gAAAAJ","BIO","BIO"
323,"3H-3V9wAAAAJ","BIO","BIO"
324,"3hqXvOEAAAAJ","BIO","BIO"
325,"3h_fp5QAAAAJ","BIO","XD"
326,"3ifikJ0AAAAJ","CS","XD"
327,"3IzCyzEAAAAJ","BIO","BIO"
328,"3JEciYcAAAAJ","BIO","BIO"
329,"3JEfSz8AAAAJ","BIO","BIO"
330,"3KTaOl0AAAAJ","BIO","BIO"
331,"3lB8Y8kAAAAJ","CS","CS"
332,"3meGuI8AAAAJ","BIO","XD"
333,"3OdbrfMAAAAJ","BIO","XD"
334,"3oyf5I4AAAAJ","CS","CS"
335,"3P2jfesAAAAJ","BIO","BIO"
336,"3p3advkAAAAJ","BIO","BIO"
337,"3pZs3j0AAAAJ","CS","CS"
338,"3qPiYJoAAAAJ","CS","XD"
339,"3S5qpXsAAAAJ","CS","CS"
340,"3siz6_0AAAAJ","CS","CS"
341,"3Tj9toIAAAAJ","BIO","BIO"
342,"3TK9AHQAAAAJ","BIO","XD"
343,"3Unsek4AAAAJ","BIO","XD"
344,"3UyNayMAAAAJ","BIO","XD"
345,"3vKjkoQAAAAJ","CS","CS"
346,"3X9nW80AAAAJ","CS","CS"
347,"3xIRwTgAAAAJ","BIO","BIO"
348,"3XYmsKQAAAAJ","CS","CS"
349,"3yJxnHwAAAAJ","BIO","XD"
350,"3YOe4NMAAAAJ","CS","CS"
351,"3yPEc4YAAAAJ","CS","CS"
352,"3_rdKBsAAAAJ","CS","XD"
353,"3_WYcR4AAAAJ","CS","XD"
354,"41m5j04AAAAJ","CS","CS"
355,"41nF80QAAAAJ","BIO","BIO"
356,"42fU-rsAAAAJ","BIO","XD"
357,"45d6BC0AAAAJ","BIO","BIO"
358,"45MH-gkAAAAJ","BIO","BIO"
359,"46HLWf8AAAAJ","CS","XD"
360,"471mb4wAAAAJ","CS","CS"
361,"47I8TqkAAAAJ","CS","CS"
362,"4A2BqsMAAAAJ","BIO","BIO"
363,"4aheXvQAAAAJ","BIO","BIO"
364,"4arkOLcAAAAJ","CS","CS"
365,"4bHar00AAAAJ","CS","CS"
366,"4BrebIYAAAAJ","CS","XD"
367,"4e2pnKYAAAAJ","CS","CS"
368,"4EHmg_4AAAAJ","BIO","BIO"
369,"4EL8ZOUAAAAJ","BIO","BIO"
370,"4EQ2zFYAAAAJ","BIO","XD"
371,"4esyQS4AAAAJ","CS","CS"
372,"4ew4MwwAAAAJ","BIO","XD"
373,"4FcaMpgAAAAJ","CS","CS"
374,"4glkLD0AAAAJ","CS","XD"
375,"4GTpCxcAAAAJ","CS","CS"
376,"4HrSWNcAAAAJ","CS","CS"
377,"4JMQMLgAAAAJ","BIO","BIO"
378,"4LCdnkYAAAAJ","CS","CS"
379,"4Mj-BjwAAAAJ","CS","XD"
380,"4n8JCSgAAAAJ","CS","XD"
381,"4O-rMYEAAAAJ","CS","CS"
382,"4OOz4DcAAAAJ","BIO","XD"
383,"4OvOdSgAAAAJ","CS","XD"
384,"4pkd0FsAAAAJ","BIO","BIO"
385,"4pWpdEIAAAAJ","CS","CS"
386,"4PYV1OEAAAAJ","BIO","XD"
387,"4q6YakgAAAAJ","BIO","XD"
388,"4R7_wW8AAAAJ","BIO","XD"
389,"4SYHiigAAAAJ","BIO","BIO"
390,"4tJhnt8AAAAJ","BIO","BIO"
391,"4Tnj6PcAAAAJ","CS","CS"
392,"4Ts9jNQAAAAJ","CS","CS"
393,"4TuZa4wAAAAJ","BIO","XD"
394,"4U1F6tcAAAAJ","BIO","BIO"
395,"4uiMIaEAAAAJ","BIO","XD"
396,"4UyniXYAAAAJ","CS","CS"
397,"4uypulQAAAAJ","CS","CS"
398,"4veQB4cAAAAJ","BIO","XD"
399,"4VJre9IAAAAJ","CS","CS"
400,"4wXYfSUAAAAJ","CS","CS"
401,"4XyoYbAAAAAJ","CS","XD"
402,"4Y2pXqoAAAAJ","BIO","BIO"
403,"4yuKD_AAAAAJ","CS","CS"
404,"4_1z8yEAAAAJ","CS","CS"
405,"5--K4tgAAAAJ","BIO","BIO"
406,"50kDLlkAAAAJ","BIO","BIO"
407,"53RlhUcAAAAJ","CS","CS"
408,"54w2_AcAAAAJ","CS","XD"
409,"55B-xqUAAAAJ","CS","CS"
410,"55fqxgwAAAAJ","CS","XD"
411,"55pOyCkAAAAJ","BIO","XD"
412,"55VV_usAAAAJ","BIO","XD"
413,"568MtVQAAAAJ","CS","CS"
414,"56oq6hYAAAAJ","BIO","BIO"
415,"56qcx4MAAAAJ","CS","CS"
416,"59zyQMYAAAAJ","CS","CS"
417,"5Aut7EEAAAAJ","CS","CS"
418,"5bxyMBwAAAAJ","CS","CS"
419,"5C4hZEgAAAAJ","BIO","XD"
420,"5cDLwU0AAAAJ","BIO","BIO"
421,"5CH2x_YAAAAJ","BIO","XD"
422,"5cJzDZEAAAAJ","CS","CS"
423,"5CoasaYAAAAJ","BIO","BIO"
424,"5ctD7qIAAAAJ","BIO","BIO"
425,"5dNYKKcAAAAJ","BIO","XD"
426,"5drv17QAAAAJ","BIO","XD"
427,"5DUnLc8AAAAJ","BIO","BIO"
428,"5EqKofQAAAAJ","BIO","XD"
429,"5ExRjncAAAAJ","CS","CS"
430,"5FZewx8AAAAJ","BIO","BIO"
431,"5GQF2FwAAAAJ","CS","CS"
432,"5GxH-mYAAAAJ","BIO","BIO"
433,"5H0arvkAAAAJ","CS","CS"
434,"5HInsKgAAAAJ","BIO","BIO"
435,"5HLGWrIAAAAJ","CS","CS"
