"year","Source","s_dept","Target","t_dept"
1983,3422,"CS",2330,"CS"
1983,1283,"CS",2330,"CS"
1983,3422,"CS",2330,"CS"
1983,2486,"BIO",804,"BIO"
1983,2486,"BIO",804,"BIO"
1983,2486,"BIO",804,"BIO"
1983,2486,"BIO",804,"BIO"
1983,2486,"BIO",804,"BIO"
1983,3536,"CS",2546,"CS"
1983,3536,"CS",2546,"CS"
1983,2584,"BIO",899,"CS"
1983,1219,"CS",2683,"CS"
1983,2422,"CS",2864,"CS"
1983,2948,"CS",2217,"CS"
1983,728,"BIO",3025,"BIO"
1983,3028,"CS",4171,"CS"
1983,3168,"CS",378,"CS"
1983,3168,"CS",378,"CS"
1983,3310,"BIO",1402,"BIO"
1983,3350,"BIO",1234,"BIO"
1983,557,"BIO",3370,"BIO"
1983,849,"CS",3410,"CS"
1983,3422,"CS",2330,"CS"
1983,3422,"CS",2330,"CS"
1983,3467,"CS",798,"CS"
1983,3467,"CS",798,"CS"
1983,3492,"BIO",3570,"BIO"
1983,3536,"CS",2546,"CS"
1983,3536,"CS",2546,"CS"
1983,3492,"BIO",3570,"BIO"
1983,4060,"BIO",3669,"BIO"
1983,3875,"CS",2879,"CS"
1983,4018,"BIO",1156,"CS"
1983,4122,"CS",500,"CS"
1983,3028,"CS",4171,"CS"
1983,4174,"BIO",2276,"BIO"
1983,1990,"CS",4187,"CS"
1984,1577,"CS",141,"CS"
1984,179,"BIO",627,"BIO"
1984,2915,"BIO",213,"BIO"
1984,2270,"CS",223,"CS"
1984,452,"CS",4146,"CS"
1984,470,"CS",3235,"CS"
1984,735,"CS",3073,"CS"
1984,3467,"CS",798,"CS"
1984,2486,"BIO",804,"BIO"
1984,2486,"BIO",804,"BIO"
1984,831,"CS",1338,"CS"
1984,831,"CS",1338,"CS"
1984,847,"CS",2244,"CS"
1984,3718,"CS",847,"CS"
1984,3718,"CS",847,"CS"
1984,392,"CS",891,"CS"
1984,1397,"CS",913,"CS"
1984,3028,"CS",942,"CS"
1984,1802,"BIO",1043,"BIO"
1984,1060,"BIO",1234,"BIO"
1984,1060,"BIO",1234,"BIO"
1984,805,"CS",1092,"CS"
1984,1219,"CS",1574,"CS"
1984,1060,"BIO",1234,"BIO"
1984,1255,"CS",3089,"CS"
1984,1283,"CS",2062,"BIO"
1984,831,"CS",1338,"CS"
1984,831,"CS",1338,"CS"
1984,1397,"CS",913,"CS"
1984,2333,"BIO",1449,"BIO"
1984,1455,"CS",1178,"CS"
1984,1549,"BIO",3711,"BIO"
1984,1549,"BIO",3711,"BIO"
1984,1549,"BIO",3711,"BIO"
1984,1219,"CS",1574,"CS"
1984,1574,"CS",4116,"CS"
1984,1574,"CS",4116,"CS"
1984,1574,"CS",4116,"CS"
1984,1604,"CS",2381,"CS"
1984,83,"BIO",1904,"BIO"
1984,371,"CS",1999,"CS"
1984,371,"CS",1999,"CS"
1984,1283,"CS",2062,"BIO"
1984,1283,"CS",2062,"BIO"
1984,1283,"CS",2062,"BIO"
1984,847,"CS",2244,"CS"
1984,2486,"BIO",804,"BIO"
1984,2486,"BIO",2245,"BIO"
1984,804,"BIO",2245,"BIO"
1984,2333,"BIO",1449,"BIO"
1984,1604,"CS",2381,"CS"
1984,2486,"BIO",804,"BIO"
1984,2486,"BIO",804,"BIO"
1984,3536,"CS",2546,"CS"
1984,3536,"CS",2546,"CS"
1984,2550,"CS",399,"CS"
1984,2596,"CS",3168,"CS"
1984,4069,"CS",2640,"CS"
1984,4069,"CS",2640,"CS"
1984,1219,"CS",2683,"CS"
1984,1219,"CS",1574,"CS"
1984,2683,"CS",1574,"CS"
1984,3352,"CS",2699,"CS"
1984,1845,"BIO",2798,"CS"
1984,3700,"BIO",2833,"BIO"
1984,3875,"CS",2879,"CS"
