"Faculty","XDIndicator","NumOfPolinator"
"1somGYUAAAAJ",0,4
"1somGYUAAAAJ",0,2
"1somGYUAAAAJ",0,3
"1somGYUAAAAJ",0,4
"1somGYUAAAAJ",0,2
"1somGYUAAAAJ",0,5
"1somGYUAAAAJ",2,1
"1somGYUAAAAJ",0,4
"1somGYUAAAAJ",0,2
"1somGYUAAAAJ",2,1
"1somGYUAAAAJ",0,2
"1somGYUAAAAJ",0,6
"1somGYUAAAAJ",0,1
"1somGYUAAAAJ",0,1
"1somGYUAAAAJ",0,2
"1somGYUAAAAJ",0,2
"1somGYUAAAAJ",0,5
"1somGYUAAAAJ",2,1
"1somGYUAAAAJ",0,2
"1somGYUAAAAJ",2,2
"1somGYUAAAAJ",0,1
"1somGYUAAAAJ",0,1
"1somGYUAAAAJ",0,3
"1somGYUAAAAJ",2,1
"1somGYUAAAAJ",0,1
"1somGYUAAAAJ",0,4
"1somGYUAAAAJ",0,7
"1somGYUAAAAJ",0,1
"1somGYUAAAAJ",0,3
"1somGYUAAAAJ",2,2
"1somGYUAAAAJ",0,6
"1somGYUAAAAJ",2,1
"1T3wsnsAAAAJ",0,3
"6Yne-voAAAAJ",0,2
"1tBxBJUAAAAJ",0,2
"1UbzzQcAAAAJ",0,2
"1UbzzQcAAAAJ",0,1
"1UbzzQcAAAAJ",2,1
"1UbzzQcAAAAJ",0,1
"1UbzzQcAAAAJ",2,2
"1UnT11UAAAAJ",0,1
"1UnT11UAAAAJ",0,1
"1uX0rugAAAAJ",0,3
"1uX0rugAAAAJ",0,4
"1uX0rugAAAAJ",0,3
"1uX0rugAAAAJ",2,1
"1uX0rugAAAAJ",0,3
"1uX0rugAAAAJ",0,3
"1uX0rugAAAAJ",0,5
"1uX0rugAAAAJ",0,1
"1u_MQY8AAAAJ",0,6
"1ve3gzYAAAAJ",0,2
"1ve3gzYAAAAJ",0,3
"1ve3gzYAAAAJ",0,2
"1ve3gzYAAAAJ",2,1
"1vk3NxsAAAAJ",0,4
"1vk3NxsAAAAJ",2,1
"1vk3NxsAAAAJ",0,7
"TUgQVOYAAAAJ",0,2
"1WIPsm0AAAAJ",0,2
"1WIPsm0AAAAJ",0,2
"1WIPsm0AAAAJ",0,2
"1WIPsm0AAAAJ",0,2
"1WIPsm0AAAAJ",0,1
"1WIPsm0AAAAJ",0,1
"1WIPsm0AAAAJ",0,1
"1wq5H9oAAAAJ",0,4
"1wq5H9oAAAAJ",2,1
"1wq5H9oAAAAJ",0,1
"1wq5H9oAAAAJ",2,2
"bqlarqIAAAAJ",0,1
"bqlarqIAAAAJ",2,2
"1wq5H9oAAAAJ",0,1
"1wq5H9oAAAAJ",2,1
"sbyIxv0AAAAJ",0,33
"sbyIxv0AAAAJ",2,4
"1wq5H9oAAAAJ",0,33
"1wq5H9oAAAAJ",2,4
"1wq5H9oAAAAJ",0,6
"1wq5H9oAAAAJ",2,3
"1wq5H9oAAAAJ",0,1
"1wq5H9oAAAAJ",0,6
"1wq5H9oAAAAJ",2,1
"1wq5H9oAAAAJ",0,2
"1wq5H9oAAAAJ",2,1
"1X-MOE8AAAAJ",0,3
"1X-MOE8AAAAJ",0,2
"1xfwEBAAAAAJ",1,2
"1xfwEBAAAAAJ",1,1
"ND0FM6EAAAAJ",1,1
"1z3mv7EAAAAJ",0,3
"1z3mv7EAAAAJ",0,4
"1z3mv7EAAAAJ",2,1
"1zmDOdwAAAAJ",1,1
"2-jY1SQAAAAJ",1,2
"2-jY1SQAAAAJ",1,1
"2-jY1SQAAAAJ",1,3
"2-jY1SQAAAAJ",1,5
"2-jY1SQAAAAJ",1,2
"22aEccUAAAAJ",0,2
"27ytbx8AAAAJ",0,4
"27ytbx8AAAAJ",0,4
"27ytbx8AAAAJ",0,5
"27ytbx8AAAAJ",2,1
"27ytbx8AAAAJ",0,4
"27ytbx8AAAAJ",0,5
"27ytbx8AAAAJ",0,1
"27ytbx8AAAAJ",0,6
"27ytbx8AAAAJ",0,3
"27ytbx8AAAAJ",0,1
"2Ay8qC4AAAAJ",0,1
"2Bbi09MAAAAJ",0,4
"2Bbi09MAAAAJ",0,1
"2Bbi09MAAAAJ",2,1
"2Bbi09MAAAAJ",0,1
"2Bc3UN4AAAAJ",1,7
"2Bc3UN4AAAAJ",1,3
"2Bc3UN4AAAAJ",1,3
"2Bc3UN4AAAAJ",1,4
"2Bc3UN4AAAAJ",1,6
"2dTrwzAAAAAJ",1,2
"2dTrwzAAAAAJ",2,2
"2dTrwzAAAAAJ",1,1
"2dTrwzAAAAAJ",1,1
"2dTrwzAAAAAJ",1,1
"2eM6GocAAAAJ",1,3
"2ewb-10AAAAJ",1,2
"2ewb-10AAAAJ",1,1
"2ewb-10AAAAJ",1,1
"2ewb-10AAAAJ",1,3
"2ewb-10AAAAJ",1,1
"2FbkAzYAAAAJ",2,1
"2FbkAzYAAAAJ",1,1
"2FbkAzYAAAAJ",1,1
"t-VqN7sAAAAJ",1,1
"tpoh43QAAAAJ",1,1
"2FbkAzYAAAAJ",1,2
"2FbkAzYAAAAJ",1,1
"2FbkAzYAAAAJ",1,1
"2FbkAzYAAAAJ",1,2
"2FbkAzYAAAAJ",1,1
"tpoh43QAAAAJ",1,1
"2FbkAzYAAAAJ",1,1
"qnwjcfAAAAAJ",1,1
"2FbkAzYAAAAJ",1,1
"2FbkAzYAAAAJ",1,1
"qnwjcfAAAAAJ",1,1
"2FbkAzYAAAAJ",2,1
"2ftJYXMAAAAJ",1,6
"2ftJYXMAAAAJ",2,1
"2ftJYXMAAAAJ",1,2
"2ftJYXMAAAAJ",1,3
"2ftJYXMAAAAJ",1,2
"2ftJYXMAAAAJ",1,3
"2ftJYXMAAAAJ",2,2
"2ftJYXMAAAAJ",1,2
"2ftJYXMAAAAJ",1,3
"2ftJYXMAAAAJ",1,1
"2ftJYXMAAAAJ",1,1
"2ftJYXMAAAAJ",1,2
"2ftJYXMAAAAJ",1,1
"2ftJYXMAAAAJ",1,1
"2ftJYXMAAAAJ",1,4
"2ftJYXMAAAAJ",2,1
"2ftJYXMAAAAJ",1,2
"2gggOEIAAAAJ",1,1
"2hg5lYIAAAAJ",1,1
"2hg5lYIAAAAJ",1,1
"2hg5lYIAAAAJ",1,4
"2hg5lYIAAAAJ",1,3
"2hg5lYIAAAAJ",1,6
"2hg5lYIAAAAJ",1,3
"2hg5lYIAAAAJ",1,3
"2hg5lYIAAAAJ",1,1
"2hg5lYIAAAAJ",1,3
"2hg5lYIAAAAJ",1,1
"2hg5lYIAAAAJ",1,1
"2hg5lYIAAAAJ",1,3
"2hg5lYIAAAAJ",1,3
"2hg5lYIAAAAJ",1,1
"2hg5lYIAAAAJ",1,1
"2i7uayYAAAAJ",1,3
"2i7uayYAAAAJ",1,1
"2i7uayYAAAAJ",1,1
"2i7uayYAAAAJ",2,1
"2i7uayYAAAAJ",1,1
"2i7uayYAAAAJ",2,1
"2i7uayYAAAAJ",1,3
"2i7uayYAAAAJ",1,2
"2jRpisYAAAAJ",2,1
"2jRpisYAAAAJ",1,2
"2jRpisYAAAAJ",1,1
"2K2gtpsAAAAJ",0,2
"2K2gtpsAAAAJ",0,2
"2K2gtpsAAAAJ",0,2
"2kkddh0AAAAJ",1,1
"2kkddh0AAAAJ",1,1
"2kXsgI4AAAAJ",1,1
"2kXsgI4AAAAJ",1,1
"Zc018qEAAAAJ",1,1
"2kXsgI4AAAAJ",1,2
"2LnUVG4AAAAJ",0,3
"2lpCLIYAAAAJ",0,2
"2lpCLIYAAAAJ",0,2
"2lpCLIYAAAAJ",0,3
"2LQimEIAAAAJ",0,1
"2M8BWDkAAAAJ",1,3
"90qiDCwAAAAJ",1,3
"2M8BWDkAAAAJ",1,1
"90qiDCwAAAAJ",1,1
"2M8BWDkAAAAJ",1,2
"2M8BWDkAAAAJ",1,1
"90qiDCwAAAAJ",1,1
"UmwJklEAAAAJ",1,1
"UmwJklEAAAAJ",2,1
"2mjUsP8AAAAJ",1,1
"2mjUsP8AAAAJ",2,1
"UmwJklEAAAAJ",1,1
"UmwJklEAAAAJ",2,1
"2mjUsP8AAAAJ",1,1
"2mjUsP8AAAAJ",2,1
"UmwJklEAAAAJ",2,1
"2mjUsP8AAAAJ",2,1
"UmwJklEAAAAJ",1,7
"UmwJklEAAAAJ",2,3
"2mjUsP8AAAAJ",1,7
"2mjUsP8AAAAJ",2,3
"2mjUsP8AAAAJ",1,2
"2mjUsP8AAAAJ",2,1
"2mkaUvkAAAAJ",0,1
"2mkaUvkAAAAJ",0,2
"2mkaUvkAAAAJ",0,2
"2nGk3QQAAAAJ",0,2
"2nGk3QQAAAAJ",0,2
"2nGk3QQAAAAJ",2,1
"2oclnIwAAAAJ",2,1
"2oclnIwAAAAJ",1,1
"2OJOZTUAAAAJ",1,1
"2OJOZTUAAAAJ",1,6
"2OJOZTUAAAAJ",1,2
"2OJOZTUAAAAJ",1,1
"2OJOZTUAAAAJ",1,5
"2OJOZTUAAAAJ",2,1
"2OJOZTUAAAAJ",1,1
"2OJOZTUAAAAJ",1,1
"2OJOZTUAAAAJ",2,1
"2OJOZTUAAAAJ",1,3
"2OJOZTUAAAAJ",2,1
"2OJOZTUAAAAJ",1,1
"2OJOZTUAAAAJ",2,1
"2OJOZTUAAAAJ",1,1
"2OJOZTUAAAAJ",1,1
"2OJOZTUAAAAJ",2,1
"2OJOZTUAAAAJ",1,2
"2oSSsLYAAAAJ",1,2
"2oSSsLYAAAAJ",1,3
"2oSSsLYAAAAJ",2,1
"2oSSsLYAAAAJ",1,2
"2oSSsLYAAAAJ",2,2
"VGoSakQAAAAJ",2,1
"2oSSsLYAAAAJ",2,1
"2oSSsLYAAAAJ",1,2
"2oSSsLYAAAAJ",2,2
"2oSSsLYAAAAJ",1,2
"2oSSsLYAAAAJ",1,2
"2oSSsLYAAAAJ",2,1
"2oSSsLYAAAAJ",2,1
"VGoSakQAAAAJ",1,2
"VGoSakQAAAAJ",2,1
"2oSSsLYAAAAJ",1,2
"2oSSsLYAAAAJ",2,1
"2oSSsLYAAAAJ",1,4
"2oSSsLYAAAAJ",2,1
"2oSSsLYAAAAJ",1,2
"2oSSsLYAAAAJ",2,1
"2pW1g5IAAAAJ",1,1
"2pW1g5IAAAAJ",1,1
"-PWcE1YAAAAJ",1,1
"2pW1g5IAAAAJ",1,1
"-PWcE1YAAAAJ",1,1
"2pW1g5IAAAAJ",1,1
"2pW1g5IAAAAJ",1,4
"2pW1g5IAAAAJ",1,2
