"FacultyI","FacultyJ","XDIndicator"
"uFJi3IUAAAAJ","C1skWKgAAAAJ",1
"ca_O-WQAAAAJ","jJwwFLIAAAAJ",0
"ca_O-WQAAAAJ","jJwwFLIAAAAJ",0
"ca_O-WQAAAAJ","jJwwFLIAAAAJ",0
"NrOOkrMAAAAJ","cF6i_goAAAAJ",1
"NrOOkrMAAAAJ","cF6i_goAAAAJ",1
"NrOOkrMAAAAJ","cF6i_goAAAAJ",1
"x8Cp75oAAAAJ","CfnktjkAAAAJ",0
"x8Cp75oAAAAJ","CfnktjkAAAAJ",0
"x8Cp75oAAAAJ","CfnktjkAAAAJ",0
"x8Cp75oAAAAJ","CfnktjkAAAAJ",0
"x8Cp75oAAAAJ","CfnktjkAAAAJ",0
"ChtFYsIAAAAJ","z-D5f6gAAAAJ",0
"ci2F0o8AAAAJ","wYJOq-wAAAAJ",0
"ci2F0o8AAAAJ","0cq9zpQAAAAJ",0
"ci2F0o8AAAAJ","wYJOq-wAAAAJ",0
"0cq9zpQAAAAJ","wYJOq-wAAAAJ",0
"CIfyNMgAAAAJ","qgfEdwUAAAAJ",0
"UCiXhq4AAAAJ","9MSpWOUAAAAJ",1
"UCiXhq4AAAAJ","CIh57tYAAAAJ",1
"UCiXhq4AAAAJ","rWl0U0oAAAAJ",1
"9MSpWOUAAAAJ","CIh57tYAAAAJ",1
"9MSpWOUAAAAJ","rWl0U0oAAAAJ",1
"CIh57tYAAAAJ","rWl0U0oAAAAJ",1
"DQaARsgAAAAJ","CK_GLC8AAAAJ",1
"cLjMQqsAAAAJ","WEQF9DgAAAAJ",1
"CoxGqVsAAAAJ","p3cwqsYAAAAJ",0
"VVPS_0UAAAAJ","CoxGqVsAAAAJ",0
"CoxGqVsAAAAJ","_bACLswAAAAJ",0
"oD0ISLcAAAAJ","CpBXPVoAAAAJ",1
"oD0ISLcAAAAJ","CpBXPVoAAAAJ",1
"oD0ISLcAAAAJ","CpBXPVoAAAAJ",1
"oD0ISLcAAAAJ","CpBXPVoAAAAJ",1
"oD0ISLcAAAAJ","CpBXPVoAAAAJ",1
"oD0ISLcAAAAJ","CpBXPVoAAAAJ",1
"IWcGY98AAAAJ","ct3WjtoAAAAJ",1
"CUO0vDcAAAAJ","jDCiMQkAAAAJ",1
"CUO0vDcAAAAJ","jDCiMQkAAAAJ",1
"CUO0vDcAAAAJ","qfCah3sAAAAJ",1
"KP-Vo44AAAAJ","eBqftc8AAAAJ",1
"KP-Vo44AAAAJ","Cxwj5hEAAAAJ",1
