"Faculty","XDIndicator","NumOfPolinator"
"0zrqo3B-66wC",1,2
"0zVOVQ0AAAAJ",1,1
"0zVOVQ0AAAAJ",1,2
"0zVOVQ0AAAAJ",1,1
"0zVOVQ0AAAAJ",1,1
"0zVOVQ0AAAAJ",1,1
"0zVOVQ0AAAAJ",1,2
"0zVOVQ0AAAAJ",1,1
"0zVOVQ0AAAAJ",1,1
"0zZnyMEAAAAJ",1,5
"0zZnyMEAAAAJ",1,5
"0zZnyMEAAAAJ",1,1
"0zZnyMEAAAAJ",1,2
"0zZnyMEAAAAJ",1,2
"0zZnyMEAAAAJ",1,1
"0zZnyMEAAAAJ",1,2
"0zZnyMEAAAAJ",1,2
"11NcM2EAAAAJ",1,2
"11NcM2EAAAAJ",2,1
"14K6V00AAAAJ",0,4
"14K6V00AAAAJ",2,1
"16posrQAAAAJ",1,1
"16posrQAAAAJ",2,1
"17FnXRkAAAAJ",0,5
"17FnXRkAAAAJ",0,4
"17FnXRkAAAAJ",2,1
"17FnXRkAAAAJ",0,4
"17H27fYAAAAJ",0,1
"19kNRU0AAAAJ",1,6
"19kNRU0AAAAJ",2,1
"19kNRU0AAAAJ",1,1
"19kNRU0AAAAJ",2,1
"19KQ9w8AAAAJ",0,2
"19KQ9w8AAAAJ",0,2
"19KQ9w8AAAAJ",0,5
"19KQ9w8AAAAJ",2,1
"xdIRtREAAAAJ",0,5
"xdIRtREAAAAJ",2,1
"19KQ9w8AAAAJ",0,7
"19KQ9w8AAAAJ",2,1
"19qSWk8AAAAJ",1,1
"19qSWk8AAAAJ",1,2
"19qSWk8AAAAJ",1,4
"19qSWk8AAAAJ",1,5
"19qSWk8AAAAJ",1,1
"19qSWk8AAAAJ",1,1
"1A9MXTkAAAAJ",0,4
"1A9MXTkAAAAJ",0,1
"1Aa3qxIAAAAJ",1,2
"5LsAK74AAAAJ",0,5
"5LsAK74AAAAJ",2,2
"1CtZnTMAAAAJ",0,5
"1CtZnTMAAAAJ",2,2
"1duOrVIAAAAJ",0,5
"1duOrVIAAAAJ",0,2
"1duOrVIAAAAJ",0,3
"1duOrVIAAAAJ",0,6
"1duOrVIAAAAJ",2,2
"1duOrVIAAAAJ",0,4
"1duOrVIAAAAJ",0,8
"1fEZ_osAAAAJ",1,1
"1fEZ_osAAAAJ",2,1
"1fEZ_osAAAAJ",1,1
"1fEZ_osAAAAJ",2,1
"gMQWxE0AAAAJ",1,1
"gMQWxE0AAAAJ",2,1
"1fEZ_osAAAAJ",1,1
"gMQWxE0AAAAJ",1,1
"1fEZ_osAAAAJ",1,1
"1fEZ_osAAAAJ",2,1
"1hEE9ZsAAAAJ",1,4
"1hEE9ZsAAAAJ",1,4
"1h_0s3wAAAAJ",0,11
"1h_0s3wAAAAJ",0,4
"1h_0s3wAAAAJ",0,1
"1h_0s3wAAAAJ",0,13
"1h_0s3wAAAAJ",0,3
"1h_0s3wAAAAJ",2,1
"1jE4flwAAAAJ",0,1
"utnDy7MAAAAJ",0,1
"1KRXBIwAAAAJ",1,1
"1kwoMp0AAAAJ",1,2
"1kwoMp0AAAAJ",2,1
"1kwoMp0AAAAJ",1,2
"1kwoMp0AAAAJ",1,2
"1LUuMc8AAAAJ",1,2
"1LUuMc8AAAAJ",1,6
"1LUuMc8AAAAJ",2,1
"QZrx9MEAAAAJ",1,6
"QZrx9MEAAAAJ",2,1
"b8foDKcAAAAJ",0,6
"1lvl_XYAAAAJ",0,6
"1l_zPXQAAAAJ",0,1
"1l_zPXQAAAAJ",0,5
"1l_zPXQAAAAJ",0,6
"1l_zPXQAAAAJ",0,1
"1mMmqs4AAAAJ",1,3
"1mMmqs4AAAAJ",1,1
"1nr7TU0AAAAJ",0,3
"1nr7TU0AAAAJ",0,5
"1nr7TU0AAAAJ",0,2
"1R-Pn34AAAAJ",0,1
"1R-Pn34AAAAJ",0,2
"1R-Pn34AAAAJ",0,1
"1s3GeggAAAAJ",0,2
"1s3GeggAAAAJ",2,1
"1s3GeggAAAAJ",0,3
"1s3GeggAAAAJ",2,1
"1s3GeggAAAAJ",0,3
"1s3GeggAAAAJ",2,2
"1sHiufgAAAAJ",0,3
"1sHiufgAAAAJ",0,5
"1somGYUAAAAJ",0,4
"1somGYUAAAAJ",0,3
"1somGYUAAAAJ",0,3
"1somGYUAAAAJ",0,1
"1somGYUAAAAJ",2,1
"1somGYUAAAAJ",0,5
"1somGYUAAAAJ",2,1
"1somGYUAAAAJ",0,5
"1somGYUAAAAJ",0,4
"1somGYUAAAAJ",0,2
"1somGYUAAAAJ",2,1
"1somGYUAAAAJ",0,1
"1somGYUAAAAJ",0,2
"1somGYUAAAAJ",2,1
"1somGYUAAAAJ",0,3
"1somGYUAAAAJ",0,9
"1somGYUAAAAJ",0,2
"1somGYUAAAAJ",0,11
"1somGYUAAAAJ",2,2
"1somGYUAAAAJ",0,5
"1somGYUAAAAJ",0,3
"1somGYUAAAAJ",2,2
"1somGYUAAAAJ",0,3
"1T3wsnsAAAAJ",0,3
"1T3wsnsAAAAJ",0,2
"1T3wsnsAAAAJ",0,6
"1tBxBJUAAAAJ",0,7
"1tBxBJUAAAAJ",0,4
"1tBxBJUAAAAJ",0,1
"1tBxBJUAAAAJ",0,13
"1tBxBJUAAAAJ",2,1
"1tBxBJUAAAAJ",0,6
"1tBxBJUAAAAJ",2,1
"1tBxBJUAAAAJ",0,5
"1tBxBJUAAAAJ",0,5
"1tBxBJUAAAAJ",0,9
"1tBxBJUAAAAJ",2,1
"1tBxBJUAAAAJ",0,7
"1tBxBJUAAAAJ",2,1
"1tBxBJUAAAAJ",0,3
"1tBxBJUAAAAJ",2,1
"1tBxBJUAAAAJ",0,7
"1tBxBJUAAAAJ",0,6
"1tBxBJUAAAAJ",2,1
"1UbzzQcAAAAJ",0,5
"1UbzzQcAAAAJ",2,4
"1UbzzQcAAAAJ",0,5
"1UbzzQcAAAAJ",2,2
"1UbzzQcAAAAJ",0,5
"1UbzzQcAAAAJ",2,2
"1uX0rugAAAAJ",0,2
"1uX0rugAAAAJ",0,9
"1uX0rugAAAAJ",0,3
"1uX0rugAAAAJ",0,1
"1uX0rugAAAAJ",0,1
"1uX0rugAAAAJ",0,2
"1u_MQY8AAAAJ",0,9
"1u_MQY8AAAAJ",0,6
"1u_MQY8AAAAJ",0,2
"1ve3gzYAAAAJ",0,2
"1ve3gzYAAAAJ",0,5
"1ve3gzYAAAAJ",0,1
"1vk3NxsAAAAJ",0,1
"1vk3NxsAAAAJ",0,4
"1vk3NxsAAAAJ",0,2
"1WIPsm0AAAAJ",0,1
"1WIPsm0AAAAJ",0,1
"1WIPsm0AAAAJ",0,2
"1WIPsm0AAAAJ",0,1
"1WIPsm0AAAAJ",0,2
"1WIPsm0AAAAJ",0,2
"1wq5H9oAAAAJ",0,1
"1wq5H9oAAAAJ",2,3
"1wq5H9oAAAAJ",0,2
"1wq5H9oAAAAJ",0,5
"1wq5H9oAAAAJ",2,2
"1wq5H9oAAAAJ",0,6
"1wq5H9oAAAAJ",2,1
"1wq5H9oAAAAJ",0,2
"1wq5H9oAAAAJ",2,1
"1wq5H9oAAAAJ",0,9
"1wq5H9oAAAAJ",0,2
"1wq5H9oAAAAJ",2,1
"1wq5H9oAAAAJ",0,2
"1wq5H9oAAAAJ",2,3
"1wq5H9oAAAAJ",0,1
"1wq5H9oAAAAJ",0,5
"1X-MOE8AAAAJ",0,2
"1X-MOE8AAAAJ",0,1
"1xfwEBAAAAAJ",1,1
"1z3mv7EAAAAJ",0,4
"1zmDOdwAAAAJ",1,2
"1zmDOdwAAAAJ",1,1
"1zmDOdwAAAAJ",1,2
"2-jY1SQAAAAJ",1,2
"2-jY1SQAAAAJ",1,3
"2-jY1SQAAAAJ",1,2
"2-jY1SQAAAAJ",1,3
"2-jY1SQAAAAJ",1,2
"2-jY1SQAAAAJ",2,1
"2-jY1SQAAAAJ",1,2
"2-jY1SQAAAAJ",1,1
"2-jY1SQAAAAJ",1,1
"2-jY1SQAAAAJ",1,2
"2-jY1SQAAAAJ",1,2
"BaI7l8QAAAAJ",1,2
"2-jY1SQAAAAJ",1,2
"2-jY1SQAAAAJ",1,1
"22aEccUAAAAJ",2,1
"22aEccUAAAAJ",0,2
"25pGNr8AAAAJ",0,4
"25pGNr8AAAAJ",2,2
"oXX9SUQAAAAJ",1,2
"26h2MnAAAAAJ",1,2
"26h2MnAAAAAJ",1,2
"27ytbx8AAAAJ",0,5
"27ytbx8AAAAJ",0,5
"27ytbx8AAAAJ",0,1
"27ytbx8AAAAJ",0,1
"27ytbx8AAAAJ",0,2
"2aSu29oAAAAJ",0,3
"2Ay8qC4AAAAJ",0,3
"2Ay8qC4AAAAJ",2,1
"2Ay8qC4AAAAJ",0,4
"2Ay8qC4AAAAJ",0,6
