"google_id","year","citations","coauthor_codes","zp","ap","tp","iXDp","PR","bf"
"-0nYQVIAAAAJ",2012,39,"0,-0nYQVIAAAAJ,0,0",-0.263572558099118,4,7,0,0.000349979424459592,0
"-0nYQVIAAAAJ",2015,20,"0,0,mAbA6EoAAAAJ,0,0,2,0,0,0,0,2,0,-0nYQVIAAAAJ,0,0,8vsRBCgAAAAJ,0,2",-0.177586907997165,18,10,1,0.000349979424459592,0.2
"-0nYQVIAAAAJ",2015,85,"0,-0nYQVIAAAAJ,0",-0.148051264762294,3,10,0,0.000349979424459592,0
"-0nYQVIAAAAJ",2013,13,"0,0,0,0,-0nYQVIAAAAJ,0",-0.371482920891598,6,8,0,0.000349979424459592,0
"-0nYQVIAAAAJ",2010,298,"2,-0nYQVIAAAAJ",-0.177185845037593,2,5,1,0.000349979424459592,1
"-0nYQVIAAAAJ",2013,25,"0,0,0,-0nYQVIAAAAJ,0,0,0,0",-0.361114449626587,8,8,0,0.000349979424459592,0
"-0nYQVIAAAAJ",2014,48,"0,0,0,0,mAbA6EoAAAAJ,0,0,0,0,0,0,0,0,2,0,-0nYQVIAAAAJ,0,0,8vsRBCgAAAAJ,0,0,0,2",-0.217783821297385,23,9,1,0.000349979424459592,0.1
"-0nYQVIAAAAJ",2015,9,"0,mAbA6EoAAAAJ,0,0,2,0,0,0,0,0,0,0,-0nYQVIAAAAJ,0",-0.193130396668093,14,10,1,0.000349979424459592,0.0833333333333333
"-0nYQVIAAAAJ",2011,34,"0,0,-0nYQVIAAAAJ,0,0,0",-0.387099021560751,6,6,0,0.000349979424459592,0
"-0nYQVIAAAAJ",2006,4,"0,0,0,0,2,0,0,0,-0nYQVIAAAAJ,2,0,2,2,0",-0.384498895940326,14,1,1,0.000349979424459592,0.307692307692308
"-0nYQVIAAAAJ",2010,53,"0,2,2,0,0,0,0,-0nYQVIAAAAJ",-0.183600779188138,8,5,1,0.000349979424459592,0.285714285714286
"-0nYQVIAAAAJ",2007,374,"0,2,-0nYQVIAAAAJ,0",-0.32617491341855,4,2,1,0.000349979424459592,0.333333333333333
"-0nYQVIAAAAJ",2008,546,"2,-0nYQVIAAAAJ,0",-0.267147374254791,3,3,1,0.000349979424459592,0.5
