"google_id","XDIndicator"
"6IxWYR0AAAAJ","XD"
"6JEDxqcAAAAJ","XD"
"6KUiLfAAAAAJ","BIO"
"6Kuq1acAAAAJ","XD"
"6laH_QsAAAAJ","BIO"
"6o13_-QAAAAJ","BIO"
"6P4bGWAAAAAJ","CS"
"6pG19JoAAAAJ","XD"
"6qE0tdAAAAAJ","CS"
"6QM1ANkAAAAJ","BIO"
"6RqRAWcAAAAJ","BIO"
"6S-WgLkAAAAJ","CS"
"6s2hs3oAAAAJ","CS"
"6t7Zm4oAAAAJ","XD"
"6UBlenoAAAAJ","BIO"
"6Ue8tWQAAAAJ","BIO"
"6UTCD84AAAAJ","BIO"
"6VNQ_IkAAAAJ","BIO"
"6vXTtDQAAAAJ","CS"
"6y4Vgs0AAAAJ","BIO"
"6Yne-voAAAAJ","BIO"
"6YU6_QoAAAAJ","CS"
"6Z88TncAAAAJ","BIO"
"6_cxCKQAAAAJ","CS"
"6_oL_9IAAAAJ","CS"
"6_wqtu4AAAAJ","BIO"
"70BD9O8AAAAJ","XD"
"70fkMMgAAAAJ","BIO"
"71OktocAAAAJ","CS"
"71RQt3sAAAAJ","CS"
"72e5VYEAAAAJ","CS"
"76nnaMsAAAAJ","BIO"
"77kOUvYAAAAJ","CS"
"79kYqosAAAAJ","BIO"
"7anf7aEAAAAJ","CS"
"7AUq6CUAAAAJ","XD"
"7BM1uyYAAAAJ","XD"
"7btxQB0AAAAJ","CS"
"7BVA7tsAAAAJ","BIO"
"7BYgbUEAAAAJ","BIO"
"7b_ipvgAAAAJ","CS"
"7cys8kgAAAAJ","XD"
"7e3e1HUAAAAJ","BIO"
"7EBqXaIAAAAJ","XD"
"7eC3KMkAAAAJ","XD"
"7egtxu0AAAAJ","XD"
"7FXtL98AAAAJ","CS"
"7g-uOHkAAAAJ","BIO"
"7gEOGwcAAAAJ","BIO"
"7iQEFwIAAAAJ","XD"
"7iUPeUQAAAAJ","BIO"
"7iV1PPYAAAAJ","XD"
"7iy44V4AAAAJ","BIO"
"7j3itaMAAAAJ","CS"
"7jNkTbYAAAAJ","CS"
"7K34d7cAAAAJ","XD"
"7kDEN7kAAAAJ","XD"
"7KqndP4AAAAJ","XD"
"7lVfIWYAAAAJ","CS"
"7MfZxCEAAAAJ","BIO"
"7MOW-j4AAAAJ","CS"
"7nERaWEAAAAJ","CS"
