"serial_id","google_id","XDIndicator","XD95","XD00","XD05","XD10","XD15"
880,"bh-uRFMAAAAJ","CS","CS","CS","CS","CS","XD"
881,"BhIIVrQAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
882,"bhO5bMAAAAAJ","CS","CS","CS","CS","CS","CS"
883,"BhqtmXMAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
884,"Bi8bhC0AAAAJ","CS","CS","CS","CS","CS","CS"
885,"biuxbRsAAAAJ","CS","CS","CS","CS","CS","CS"
886,"BIvoTCoAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
887,"BJ1TE4AAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
888,"Bj5YOnYAAAAJ","CS","CS","CS","CS","CS","CS"
889,"BJAXIbQAAAAJ","CS","CS","CS","CS","CS","CS"
890,"bkKzaV8AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
891,"bkN-YUkAAAAJ","CS","CS","CS","CS","CS","CS"
892,"bKQBZ_4AAAAJ","CS","CS","CS","CS","CS","CS"
893,"BkrB4awAAAAJ","CS","CS","CS","CS","CS","CS"
894,"bkvx_BkAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
895,"BL7eMuQAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
896,"Blc7qV0AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
897,"blFs68UAAAAJ","CS","CS","CS","CS","CS","CS"
898,"blg0nusAAAAJ","BIO","BIO","XD","XD","XD","XD"
899,"blwKAkUAAAAJ","XD","XD","XD","XD","XD","XD"
900,"Bm2cRI4AAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
901,"Bm8_iaoAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
902,"BMcwwBgAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
903,"bmEAt9AAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
904,"BMlr6vkAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
905,"BMSO3yEAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
906,"BMVESLIAAAAJ","CS","CS","CS","CS","CS","CS"
907,"BMydCgcAAAAJ","CS","CS","CS","CS","CS","CS"
908,"Bn0zSwQAAAAJ","CS","CS","CS","CS","CS","CS"
909,"bNE_Cy4AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
910,"BNgzPLQAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
911,"Bnnj5ScAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
912,"bnoxnFwAAAAJ","CS","CS","CS","CS","CS","CS"
913,"BnxU9TEAAAAJ","CS","CS","XD","XD","XD","XD"
914,"BO4a37QAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
915,"BOSWyvUAAAAJ","CS","CS","CS","CS","CS","CS"
916,"Bp6tvy0AAAAJ","CS","CS","CS","CS","CS","XD"
917,"BPLNwNwAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
918,"Bq50aCUAAAAJ","CS","CS","CS","CS","CS","XD"
919,"bqkhX54AAAAJ","CS","CS","CS","CS","CS","CS"
920,"bqlarqIAAAAJ","BIO","BIO","BIO","XD","XD","XD"
921,"Br2CnUYAAAAJ","CS","CS","CS","CS","CS","CS"
922,"br7IEH4AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
923,"brdXz7oAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
924,"bRjJOrMAAAAJ","CS","CS","CS","CS","CS","CS"
925,"bRqMv80AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
926,"BS0cWWoAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
927,"bsFxGUIAAAAJ","CS","CS","CS","CS","CS","CS"
928,"bsoRFLAAAAAJ","CS","CS","CS","CS","CS","CS"
929,"bsROXv0AAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
930,"bsxzelIAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
931,"bt2wk9EAAAAJ","CS","CS","CS","CS","CS","CS"
932,"btdnr-gAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
933,"BteJZfwAAAAJ","BIO","BIO","BIO","XD","XD","XD"
934,"BtpxluIAAAAJ","CS","CS","CS","CS","CS","CS"
935,"bU3P8twAAAAJ","BIO","BIO","XD","XD","XD","XD"
936,"BUJPA5QAAAAJ","CS","CS","CS","CS","CS","CS"
937,"BuqiJJwAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
938,"BvErxkIAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
939,"BVXyodYAAAAJ","CS","CS","CS","CS","CS","CS"
940,"BVYbQKkAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
941,"bWL2gvUAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
942,"bWTPrLEAAAAJ","CS","CS","CS","CS","CS","CS"
943,"Bwtxxf8AAAAJ","CS","CS","CS","CS","XD","XD"
944,"BXEDBDUAAAAJ","CS","CS","CS","CS","CS","CS"
945,"bxi6JXYAAAAJ","CS","CS","CS","CS","CS","CS"
946,"BXp6PIIAAAAJ","CS","CS","CS","CS","CS","CS"
947,"BY4seCsAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
948,"bY5WiJIAAAAJ","CS","CS","CS","CS","CS","CS"
949,"BY9TLu8AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
950,"bycRtxe_xEAC","BIO","BIO","BIO","BIO","BIO","BIO"
951,"bYI7VMwAAAAJ","CS","CS","CS","CS","CS","CS"
952,"bykS5JAAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
953,"BzlPljQAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
954,"bzOPvCYAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
955,"bzw5nP8AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
956,"b_F9oVsAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
957,"c-LG6-MAAAAJ","CS","CS","CS","CS","CS","CS"
958,"C-Vx2wIAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
959,"c0dqLZAAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
960,"c0yPSEYAAAAJ","CS","CS","CS","CS","CS","CS"
961,"C19mgCgAAAAJ","CS","CS","CS","CS","CS","XD"
962,"C1c54H4AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
963,"C1CQv3YAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
964,"C1jREowAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
965,"C1skWKgAAAAJ","CS","CS","XD","XD","XD","XD"
966,"C1VwgssAAAAJ","CS","CS","CS","CS","CS","CS"
967,"C2k6mYwAAAAJ","CS","CS","CS","CS","CS","CS"
968,"c5HeXxsAAAAJ","CS","CS","CS","CS","CS","CS"
969,"C6DtGmMAAAAJ","CS","CS","CS","XD","XD","XD"
970,"C6Pd5zoAAAAJ","CS","CS","CS","CS","CS","CS"
971,"C7htwEIAAAAJ","CS","CS","CS","CS","CS","CS"
972,"C7T_UdYAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
973,"c8mdOEgAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
974,"cA28Zs0AAAAJ","CS","CS","CS","CS","CS","CS"
975,"CaO1wNAAAAAJ","CS","CS","CS","CS","CS","CS"
976,"cau1NIYAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
977,"CaVJjX8AAAAJ","BIO","BIO","BIO","BIO","XD","XD"
978,"ca_O-WQAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
979,"CB3K5kwAAAAJ","CS","CS","CS","CS","CS","CS"
980,"CBjDcy8AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
981,"cbQB0MMAAAAJ","CS","CS","CS","CS","CS","XD"
982,"cbTB5-EAAAAJ","CS","CS","CS","CS","CS","CS"
983,"cc4Qi_IAAAAJ","CS","CS","CS","CS","CS","CS"
984,"CcbnBvgAAAAJ","CS","CS","CS","CS","XD","XD"
985,"CCGI7x4AAAAJ","CS","CS","CS","CS","CS","CS"
986,"CD6IAXYAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
987,"cdckpV4AAAAJ","BIO","BIO","BIO","XD","XD","XD"
988,"CdQUR_wAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
989,"CE2he2MAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
990,"CeieiIgAAAAJ","CS","CS","CS","CS","CS","CS"
991,"cF2lHxgAAAAJ","CS","CS","CS","CS","CS","CS"
992,"cF6i_goAAAAJ","CS","CS","CS","CS","CS","CS"
993,"cFbbY_gAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
994,"cfdcgXcAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
995,"CfLHDYgAAAAJ","CS","CS","CS","CS","CS","CS"
996,"CfnktjkAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
997,"cfwxm0AAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
998,"CG36zWQAAAAJ","CS","CS","CS","CS","CS","XD"
999,"cgaU4UkAAAAJ","CS","CS","CS","CS","CS","CS"
1000,"cgBKv78AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1001,"CgItEbQAAAAJ","CS","CS","CS","CS","CS","CS"
1002,"CGtmFscAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1003,"CgwmgHoAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1004,"Cg_mRhMAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1005,"ChHokKEAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1006,"CHIZtZAAAAAJ","CS","CS","CS","XD","XD","XD"
1007,"ChtFYsIAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1008,"chwPsSIAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1009,"chXHpdIAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
1010,"cI-fi9MAAAAJ","BIO","BIO","BIO","XD","XD","XD"
1011,"ci2F0o8AAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
1012,"CiBRJ_EAAAAJ","CS","CS","CS","CS","CS","CS"
1013,"CidT-JAAAAAJ","CS","CS","CS","CS","CS","CS"
1014,"CIfyNMgAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1015,"CIh57tYAAAAJ","CS","CS","CS","CS","CS","CS"
1016,"ciQ3dn0AAAAJ","CS","CS","CS","XD","XD","XD"
1017,"CIRxTfUAAAAJ","CS","CS","CS","CS","CS","CS"
1018,"cjkgjggAAAAJ","CS","CS","CS","CS","CS","CS"
1019,"CJKIVooAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1020,"CJYvcWQAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
1021,"cKi7xAcAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1022,"CknstQwAAAAJ","CS","CS","CS","CS","CS","CS"
1023,"cKqUsd8AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1024,"CKXeqHoAAAAJ","CS","CS","CS","CS","CS","CS"
1025,"CK_GLC8AAAAJ","CS","CS","CS","CS","CS","CS"
1026,"cl7CnNYAAAAJ","CS","CS","CS","CS","CS","CS"
1027,"cLb-v7gAAAAJ","CS","CS","CS","CS","CS","CS"
1028,"cLjMQqsAAAAJ","CS","CS","CS","CS","CS","CS"
1029,"CLTatQMAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1030,"CM2zuJkAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1031,"cmHtVjAAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1032,"Cmr9ljkAAAAJ","CS","CS","CS","CS","CS","CS"
1033,"CMrWvzUAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1034,"cMvo_1MAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1035,"CNkmfDYAAAAJ","BIO","BIO","XD","XD","XD","XD"
1036,"CO7nYfIAAAAJ","CS","CS","CS","CS","CS","CS"
1037,"COE6KUgAAAAJ","CS","CS","CS","CS","CS","CS"
1038,"COjq9XUAAAAJ","CS","CS","CS","CS","CS","CS"
1039,"Col6iRsAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1040,"CON0HeQAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1041,"CONRN6AAAAAJ","BIO","BIO","BIO","XD","XD","XD"
1042,"COuXyKwAAAAJ","CS","CS","CS","CS","CS","CS"
1043,"CoxGqVsAAAAJ","BIO","BIO","XD","XD","XD","XD"
1044,"CpBXPVoAAAAJ","CS","CS","CS","CS","CS","CS"
1045,"cpgUf6wAAAAJ","CS","CS","CS","CS","CS","CS"
1046,"CPnkYYMAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1047,"CPye2b4AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1048,"Cp_G5UwAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
1049,"cQ1P1qoAAAAJ","CS","CS","CS","CS","XD","XD"
1050,"CQcd1cQAAAAJ","CS","CS","CS","CS","CS","CS"
1051,"cQknwG0AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1052,"CqnnE2AAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1053,"CQ_6m_oAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1054,"cRRRBAcAAAAJ","CS","CS","CS","CS","CS","CS"
1055,"cS8AAA4AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1056,"CsGlDGEAAAAJ","CS","CS","CS","CS","CS","CS"
1057,"cshPl0kAAAAJ","CS","CS","CS","CS","CS","CS"
1058,"CsUhHTAAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1059,"ct3WjtoAAAAJ","CS","CS","CS","CS","XD","XD"
1060,"CTPwvRMAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1061,"CtxI-i0AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1062,"CTXoO1AAAAAJ","CS","CS","CS","CS","CS","CS"
1063,"CUbC2zYAAAAJ","CS","CS","CS","CS","CS","CS"
1064,"cUDoNlIAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1065,"CUkAtC4AAAAJ","CS","CS","CS","CS","CS","CS"
1066,"CUO0vDcAAAAJ","CS","CS","CS","CS","CS","CS"
1067,"cUssgjoAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1068,"CUXbme0AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1069,"cVeXErsAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1070,"cvJWY6kAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
1071,"cvK1qxAAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1072,"cVTdh_sAAAAJ","CS","CS","CS","CS","CS","CS"
1073,"cwa28YMAAAAJ","BIO","BIO","XD","XD","XD","XD"
1074,"CwLbzcIAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1075,"CXAN0i0AAAAJ","CS","CS","CS","CS","CS","CS"
1076,"cxcSXXYAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1077,"CxKgqz0AAAAJ","CS","CS","CS","CS","CS","CS"
1078,"Cxwj5hEAAAAJ","CS","CS","CS","CS","CS","CS"
1079,"CyGvFJkAAAAJ","CS","CS","CS","XD","XD","XD"
1080,"cYmUpBQAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1081,"CyQYgR0AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1082,"cYReSuEAAAAJ","CS","CS","CS","CS","CS","CS"
1083,"CZyWk8kAAAAJ","CS","CS","CS","CS","XD","XD"
1084,"C_cWJIkAAAAJ","CS","CS","CS","CS","CS","CS"
1085,"c_hM9mAAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
1086,"d-hWatsAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1087,"D-n1130AAAAJ","BIO","BIO","BIO","BIO","XD","XD"
1088,"d0JlvYAAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1089,"d0KQ9z0AAAAJ","CS","CS","CS","CS","CS","CS"
1090,"D0lL1r0AAAAJ","CS","CS","CS","CS","CS","CS"
1091,"d1Jk5ecAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1092,"d1KEK84AAAAJ","CS","CS","CS","CS","CS","CS"
1093,"D2K-ADYAAAAJ","CS","CS","CS","CS","CS","CS"
1094,"D2NdW5YAAAAJ","CS","CS","CS","CS","CS","CS"
1095,"D2P2B0MAAAAJ","CS","CS","CS","CS","CS","CS"
1096,"d33xc6kAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1097,"d34JIC8AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1098,"D3aAA1wAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1099,"D3JAXKsAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1100,"d3UtiX8AAAAJ","CS","CS","CS","XD","XD","XD"
1101,"d5HLoWUAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
1102,"d5WWJFkAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1103,"D6fk8zcAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
1104,"D6fp6_cAAAAJ","CS","CS","CS","CS","CS","CS"
1105,"D6ptFeMAAAAJ","CS","CS","CS","CS","CS","CS"
1106,"d7Gx1QYAAAAJ","CS","CS","XD","XD","XD","XD"
1107,"D8O1JNrl--gC","BIO","BIO","BIO","BIO","BIO","BIO"
1108,"d8YkitgAAAAJ","CS","CS","CS","CS","CS","CS"
1109,"d97bGd8AAAAJ","CS","CS","CS","CS","CS","CS"
1110,"D9trGPkAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1111,"D9UDlHYAAAAJ","CS","XD","XD","XD","XD","XD"
1112,"d9Y04UwAAAAJ","CS","CS","CS","CS","CS","CS"
1113,"Da-s1FQAAAAJ","CS","CS","CS","CS","CS","CS"
1114,"dACRUjgAAAAJ","CS","CS","CS","CS","CS","CS"
1115,"DaDmjMMAAAAJ","CS","CS","CS","CS","CS","CS"
1116,"DaFuSLUAAAAJ","CS","CS","CS","CS","CS","CS"
1117,"DaGZRjAAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1118,"Db4BCX8AAAAJ","CS","CS","CS","CS","CS","CS"
1119,"dBBs4gHgn3cC","BIO","BIO","BIO","BIO","BIO","BIO"
1120,"DbDbLZEAAAAJ","CS","CS","CS","CS","CS","XD"
1121,"DbZWZr8AAAAJ","XD","XD","XD","XD","XD","XD"
1122,"dCj_AtQAAAAJ","CS","CS","CS","CS","CS","CS"
1123,"dCWcLaUAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1124,"Dd4dphgAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1125,"DD6_7kwAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
1126,"Ddfev5kAAAAJ","CS","CS","CS","CS","CS","XD"
1127,"DdNAgNwAAAAJ","CS","CS","CS","CS","CS","CS"
1128,"DDtrs1EAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1129,"DDxFvcIAAAAJ","CS","CS","CS","CS","CS","CS"
1130,"deH55NMAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
1131,"DeKa-fwAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1132,"dfj3gcAAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1133,"DFk64hIAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
1134,"DFqp8NkAAAAJ","CS","CS","CS","CS","CS","CS"
1135,"DFUW1KgAAAAJ","CS","CS","CS","CS","CS","CS"
1136,"dG604wQAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1137,"dgBh0UMAAAAJ","CS","CS","CS","CS","CS","CS"
1138,"DGqqwrQAAAAJ","CS","CS","CS","CS","CS","CS"
1139,"dgRIYXIAAAAJ","CS","CS","CS","CS","CS","CS"
1140,"dGs2BcIAAAAJ","CS","CS","CS","CS","CS","CS"
1141,"dGuYytYAAAAJ","CS","CS","CS","CS","CS","CS"
1142,"Dh-xOjwAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1143,"DhhH9J4AAAAJ","CS","CS","CS","XD","XD","XD"
1144,"dHiM2IcAAAAJ","CS","CS","CS","CS","CS","CS"
1145,"dhP2P4cAAAAJ","BIO","BIO","BIO","XD","XD","XD"
1146,"dhwyJggAAAAJ","CS","CS","CS","CS","CS","CS"
1147,"DI23xwMAAAAJ","CS","XD","XD","XD","XD","XD"
1148,"DI8bU-0AAAAJ","CS","CS","CS","CS","CS","CS"
1149,"Dj3gptkAAAAJ","CS","CS","CS","XD","XD","XD"
1150,"dj4EiqsAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1151,"DJ6--hMAAAAJ","CS","CS","CS","CS","CS","CS"
1152,"dJlucB8AAAAJ","BIO","BIO","BIO","BIO","XD","XD"
1153,"djRAUcYAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1154,"DK6Hz0oAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1155,"DKfEcuEAAAAJ","CS","CS","XD","XD","XD","XD"
1156,"DknsgF8AAAAJ","XD","XD","XD","XD","XD","XD"
1157,"DKuq2fIAAAAJ","CS","CS","CS","CS","CS","CS"
1158,"Dl0vAp8AAAAJ","CS","CS","CS","CS","CS","CS"
1159,"dl2MfAoAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1160,"DlLniqwAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1161,"DLuOkToAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1162,"dlV-qnUAAAAJ","CS","CS","CS","CS","CS","CS"
1163,"DlWkhUkAAAAJ","BIO","BIO","BIO","XD","XD","XD"
1164,"Dm-CryUAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1165,"dmM6v4gAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1166,"DnnCWN0AAAAJ","CS","CS","CS","CS","CS","XD"
1167,"Dn_qYK8AAAAJ","CS","CS","CS","CS","CS","CS"
1168,"dOCmXwMAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1169,"DOe1Bl8AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1170,"doh5By4AAAAJ","BIO","BIO","BIO","BIO","XD","XD"
1171,"dok0514AAAAJ","CS","CS","CS","CS","CS","CS"
1172,"Dp3nYY0AAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
1173,"dPgyka0AAAAJ","CS","CS","CS","CS","CS","XD"
1174,"dpH_nwUAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1175,"DpLFv4gAAAAJ","CS","CS","CS","CS","CS","CS"
1176,"dPX0wQcAAAAJ","CS","CS","CS","CS","CS","CS"
1177,"DP_EJ4gAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1178,"DQaARsgAAAAJ","CS","CS","XD","XD","XD","XD"
1179,"DqCFHY8AAAAJ","CS","CS","CS","CS","CS","CS"
1180,"dqVEA2sAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1181,"DqXsbPAAAAAJ","CS","CS","CS","CS","CS","CS"
1182,"dqY6PyYAAAAJ","CS","CS","CS","CS","CS","CS"
1183,"DR53HeUAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1184,"DS6rCasAAAAJ","CS","CS","CS","CS","CS","CS"
1185,"dShqnssAAAAJ","CS","CS","CS","CS","CS","CS"
1186,"DSiNzkIAAAAJ","CS","CS","CS","CS","CS","CS"
1187,"DSLquxEAAAAJ","CS","CS","XD","XD","XD","XD"
1188,"DSQtNmUAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1189,"DsR4PucAAAAJ","CS","CS","CS","XD","XD","XD"
1190,"Dt5ftZcAAAAJ","CS","CS","CS","CS","CS","CS"
1191,"dT7yOrwAAAAJ","CS","CS","CS","CS","CS","CS"
1192,"DTijWhgAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1193,"dtSGpBEAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1194,"DTthB48AAAAJ","CS","CS","CS","CS","CS","CS"
1195,"DUaLtscAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
1196,"dufShEsAAAAJ","CS","CS","CS","CS","CS","XD"
1197,"DulpV-cAAAAJ","CS","CS","CS","CS","CS","CS"
1198,"duOys3YAAAAJ","CS","CS","CS","CS","CS","CS"
1199,"DuXdQFkAAAAJ","CS","CS","CS","CS","CS","CS"
1200,"dVbRE1YAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1201,"dvl7hJEAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
1202,"dvvN6qsAAAAJ","CS","CS","CS","CS","CS","CS"
1203,"Dw2YCUcAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1204,"DW7krlcAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1205,"dWVyVm4AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1206,"dxCq0WoAAAAJ","CS","CS","CS","CS","CS","CS"
1207,"DXjBcwsAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1208,"DxoenfgAAAAJ","CS","CS","CS","CS","CS","XD"
1209,"DxSdANoAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1210,"dxUyNuoAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1211,"dxwra60AAAAJ","XD","XD","XD","XD","XD","XD"
1212,"dywFuRMAAAAJ","CS","CS","CS","CS","CS","CS"
1213,"Dzf46C8AAAAJ","CS","CS","CS","CS","CS","XD"
1214,"Dzh5C9EAAAAJ","CS","CS","CS","CS","CS","CS"
1215,"DzHPx8IAAAAJ","BIO","BIO","BIO","XD","XD","XD"
1216,"dzMhIxQAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1217,"DzvXnyoAAAAJ","CS","CS","CS","CS","CS","CS"
1218,"D_3H_9wAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1219,"D_JpQnAAAAAJ","CS","XD","XD","XD","XD","XD"
1220,"d_rxnzAAAAAJ","CS","CS","CS","CS","CS","XD"
1221,"e-c3R8QAAAAJ","CS","XD","XD","XD","XD","XD"
1222,"E-sFjjsAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1223,"e-x_OTAAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
1224,"E0GO0JkAAAAJ","CS","CS","XD","XD","XD","XD"
1225,"E0NwK2AAAAAJ","CS","CS","CS","CS","CS","CS"
1226,"E130CB8AAAAJ","CS","CS","CS","CS","CS","XD"
1227,"E1cp_aYAAAAJ","CS","CS","CS","CS","CS","CS"
1228,"e1MZuKIAAAAJ","CS","CS","CS","CS","CS","CS"
1229,"E2-uIQYAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
1230,"E2RYCMQAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1231,"E3APGcgAAAAJ","CS","CS","CS","XD","XD","XD"
1232,"e3Vv6FwAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1233,"e4I7ihkAAAAJ","CS","CS","CS","CS","CS","CS"
1234,"e4JfTgsAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
1235,"E4kvshMAAAAJ","CS","CS","CS","CS","CS","CS"
1236,"e4QLgGsAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
