"Faculty","XDIndicator","NumOfPolinator"
"04pdXhgAAAAJ",0,2
"04pdXhgAAAAJ",2,1
"04pdXhgAAAAJ",0,4
"04pdXhgAAAAJ",2,2
"04pdXhgAAAAJ",0,3
"04pdXhgAAAAJ",0,2
"04pdXhgAAAAJ",0,3
"04pdXhgAAAAJ",0,2
"04pdXhgAAAAJ",2,1
"04pdXhgAAAAJ",0,3
"04pdXhgAAAAJ",0,4
"04TuVhEAAAAJ",1,1
"04TuVhEAAAAJ",2,1
"05cijuQAAAAJ",0,1
"05cijuQAAAAJ",2,1
"7BVA7tsAAAAJ",0,1
"7BVA7tsAAAAJ",2,1
"05cijuQAAAAJ",0,29
"05cijuQAAAAJ",2,10
"05cijuQAAAAJ",0,2
"7BVA7tsAAAAJ",0,2
"05UuCNQAAAAJ",0,4
"05UuCNQAAAAJ",2,2
"05UuCNQAAAAJ",0,2
"05UuCNQAAAAJ",2,9
"05UuCNQAAAAJ",0,9
"05UuCNQAAAAJ",2,6
"05UuCNQAAAAJ",0,7
"05UuCNQAAAAJ",2,3
"m4NpPpcAAAAJ",0,7
"m4NpPpcAAAAJ",2,3
"05UuCNQAAAAJ",0,2
"05UuCNQAAAAJ",0,6
"05UuCNQAAAAJ",2,5
"05UuCNQAAAAJ",0,4
"05UuCNQAAAAJ",2,4
"05UuCNQAAAAJ",0,29
"05UuCNQAAAAJ",2,2
"cmHtVjAAAAAJ",0,9
"cmHtVjAAAAAJ",2,1
"05UuCNQAAAAJ",0,9
"05UuCNQAAAAJ",2,1
"m4NpPpcAAAAJ",0,9
"m4NpPpcAAAAJ",2,1
"05UuCNQAAAAJ",0,8
"05UuCNQAAAAJ",2,4
"060zUaAAAAAJ",0,1
"060zUaAAAAAJ",2,1
"060zUaAAAAAJ",0,4
"060zUaAAAAAJ",2,1
"060zUaAAAAAJ",0,3
"060zUaAAAAAJ",0,7
"060zUaAAAAAJ",0,3
"06hgT8gAAAAJ",1,1
"06hgT8gAAAAJ",2,1
"06hgT8gAAAAJ",1,2
"06hgT8gAAAAJ",1,1
"06hgT8gAAAAJ",2,1
"Lk38PP0AAAAJ",0,3
"078_pfUAAAAJ",0,3
"HF2G3LAAAAAJ",1,6
"HF2G3LAAAAAJ",2,1
"07ds-DAAAAAJ",1,6
"07ds-DAAAAAJ",2,1
"07ds-DAAAAAJ",2,2
"07ds-DAAAAAJ",1,4
"07ds-DAAAAAJ",1,4
"07ds-DAAAAAJ",1,3
"07ds-DAAAAAJ",1,4
"07ds-DAAAAAJ",2,1
"UEI2g60AAAAJ",1,2
"07ds-DAAAAAJ",1,2
"07ds-DAAAAAJ",1,3
"BFE6IQwAAAAJ",1,3
"UEI2g60AAAAJ",1,1
"07ds-DAAAAAJ",1,1
"07ds-DAAAAAJ",1,1
"07ds-DAAAAAJ",2,1
"07ds-DAAAAAJ",1,4
"07ds-DAAAAAJ",1,3
"07ds-DAAAAAJ",1,1
"07ds-DAAAAAJ",1,6
"BFE6IQwAAAAJ",1,6
"07ds-DAAAAAJ",1,3
"BFE6IQwAAAAJ",1,3
"UEI2g60AAAAJ",1,2
"07ds-DAAAAAJ",1,2
"AH5j40kAAAAJ",1,2
"07ds-DAAAAAJ",1,3
"07ds-DAAAAAJ",1,2
"07ds-DAAAAAJ",1,4
"y-JsL4kAAAAJ",1,4
"07Z4HAQAAAAJ",1,4
"y-JsL4kAAAAJ",1,3
"p26NfLgAAAAJ",1,3
"07Z4HAQAAAAJ",1,3
"SfWhUQEAAAAJ",0,5
"0ahvXiEAAAAJ",0,5
"0ahvXiEAAAAJ",2,1
"SfWhUQEAAAAJ",0,8
"0ahvXiEAAAAJ",0,8
"0Bi5CMgAAAAJ",1,6
"0Bi5CMgAAAAJ",1,3
"MwLqCs4AAAAJ",1,3
"0Bi5CMgAAAAJ",1,1
"XGnfm1UkTfgC",0,10
"XGnfm1UkTfgC",2,2
"0cq9zpQAAAAJ",0,10
"0cq9zpQAAAAJ",2,2
"8syZZBAAAAAJ",0,10
